time_s,vx_m_s,wz_rad_s,v_left_m_s,v_right_m_s
4.9000773429870605,0.19324800372123718,0.0,0.19324800372123718,0.19324800372123718
4.999814510345459,0.19327519834041595,0.0,0.19327519834041595,0.19327519834041595
5.098551988601685,0.1943030059337616,0.0,0.1943030059337616,0.1943030059337616
5.199327230453491,0.19575223326683044,0.0,0.19575223326683044,0.19575223326683044
5.299657583236694,0.19712777435779572,0.0,0.19712777435779572,0.19712777435779572
5.399693965911865,0.19756554067134857,0.0,0.19756554067134857,0.19756554067134857
5.499636173248291,0.19671647250652313,0.0,0.19671647250652313,0.19671647250652313
5.599240779876709,0.1950618028640747,0.0,0.1950618028640747,0.1950618028640747
5.699335336685181,0.19310250878334045,0.0,0.19310250878334045,0.19310250878334045
5.799885511398315,0.21143889427185059,0.0,0.21143889427185059,0.21143889427185059
5.899406433105469,0.20490960776805878,0.0,0.20490960776805878,0.20490960776805878
5.999405145645142,0.20289282500743866,0.0,0.20289282500743866,0.20289282500743866
6.0984930992126465,0.2001265585422516,0.0,0.2001265585422516,0.2001265585422516
6.200214862823486,0.199942484498024,0.0,0.199942484498024,0.199942484498024
6.3006205558776855,0.19979113340377808,0.0,0.19979113340377808,0.19979113340377808
6.399470806121826,0.19911737740039825,0.0,0.19911737740039825,0.19911737740039825
6.499233722686768,0.19758246839046478,0.0,0.19758246839046478,0.19758246839046478
6.599607467651367,0.19580568373203278,0.0,0.19580568373203278,0.19580568373203278
6.699218511581421,0.21411257982254028,0.0,0.21411257982254028,0.21411257982254028
6.8032755851745605,0.22735606133937836,0.0,0.22735606133937836,0.22735606133937836
6.899839401245117,0.24129554629325867,0.0,0.24129554629325867,0.24129554629325867
6.999622583389282,0.24992787837982178,0.0,0.24992787837982178,0.24992787837982178
7.099107980728149,0.2394517958164215,0.0,0.2394517958164215,0.2394517958164215
7.199596405029297,0.23345160484313965,0.2441748082637787,0.21819067932665348,0.24871253035962582
7.30016827583313,0.227837473154068,0.3804919123649597,0.204056728631258,0.251618217676878
7.400415420532227,0.22412657737731934,0.4649064540863037,0.19506992399692535,0.2531832307577133
7.499370574951172,0.23993654549121857,0.5265024900436401,0.20703013986349106,0.2728429511189461
7.599001407623291,0.25027400255203247,0.510709822177887,0.21835463866591454,0.2821933664381504
7.699449777603149,0.25737351179122925,0.5102440118789673,0.2254832610487938,0.2892637625336647
7.800545692443848,0.2634792923927307,0.5344635844230652,0.23007531836628914,0.2968832664191723
7.89980673789978,0.27199169993400574,0.595197319984436,0.23479186743497849,0.309191532433033
8.000739574432373,0.28073811531066895,0.6492511630058289,0.24015991762280464,0.32131631299853325
8.098422288894653,0.2925633490085602,0.6839379072189331,0.24981722980737686,0.3353094682097435
8.199236392974854,0.30261778831481934,0.7141022682189941,0.2579863965511322,0.34724918007850647
8.29931092262268,0.30986884236335754,0.7483047246932983,0.2630997970700264,0.3566378876566887
8.400022029876709,0.3144233822822571,0.7829015254974365,0.2654920369386673,0.36335472762584686
8.499497652053833,0.3159673810005188,0.799393355846405,0.2660052962601185,0.3659294657409191
8.600642204284668,0.31739312410354614,0.8026387691497803,0.2672282010316849,0.3675580471754074
8.700275659561157,0.31781065464019775,0.7948973774909973,0.2681295685470104,0.3674917407333851
