timestamp,status,x,z,yaw_rad
1779831467.030084,SUCCESS,-0.028050,0.282056,0.017065
1779831469.341461,SUCCESS,-0.020733,0.285513,0.027348
1779831469.914791,SUCCESS,-0.012477,0.288519,0.041191
1779831470.555139,SUCCESS,0.004613,0.290892,0.087039
1779831471.132985,SUCCESS,0.013853,0.291287,0.114419
1779831471.990918,SUCCESS,0.029103,0.292936,0.138325
1779831472.574529,SUCCESS,0.039350,0.292913,0.173831
1779831475.767589,SUCCESS,0.042204,0.291237,0.171646
1779831476.448337,SUCCESS,0.039745,0.290309,0.173652
1779831476.901342,SUCCESS,0.052191,0.289578,0.192831
1779831477.353995,SUCCESS,0.067561,0.289062,0.204891
1779831477.846428,SUCCESS,0.076524,0.289571,0.207388
1779831478.988683,SUCCESS,0.079468,0.290171,0.183290
1779831479.474963,SUCCESS,0.069266,0.291710,0.160895
1779831479.991334,SUCCESS,0.052254,0.293998,0.130316
1779831480.385787,SUCCESS,0.031675,0.293850,0.089795
1779831481.098381,SUCCESS,0.005423,0.292801,0.035425
1779831481.811159,SUCCESS,-0.020353,0.291142,-0.017734
1779831482.457162,SUCCESS,-0.027262,0.293329,-0.024051
1779831482.920349,SUCCESS,-0.021823,0.302505,-0.002852
1779831483.472447,SUCCESS,-0.009385,0.309803,0.023526
1779831483.964712,SUCCESS,0.013269,0.315389,0.068203
1779831484.815806,SUCCESS,0.061765,0.317248,0.165537
1779831485.348746,SUCCESS,0.061752,0.318581,0.149351
1779831485.812928,SUCCESS,0.036476,0.318825,0.092963
1779831486.340384,SUCCESS,-0.002186,0.318011,0.005980
1779831486.768312,SUCCESS,-0.023737,0.316100,0.015288
1779831487.258245,SUCCESS,-0.036704,0.316400,-0.005445
1779831487.656724,SUCCESS,-0.040078,0.316871,0.006567
1779831488.179400,SUCCESS,-0.033908,0.320146,0.037306
1779831488.481549,SUCCESS,-0.024649,0.321855,0.063484
1779831488.828123,SUCCESS,-0.003114,0.324201,0.122651
1779831489.383131,SUCCESS,0.022702,0.326236,0.181424
1779831489.772351,SUCCESS,0.035414,0.326383,0.185287
1779831490.138141,SUCCESS,0.046209,0.325629,0.213077
1779831490.646538,SUCCESS,0.050242,0.325632,0.204268
1779831491.212490,SUCCESS,0.040834,0.325212,0.160590
1779831491.703643,SUCCESS,0.022560,0.322346,0.104348
1779831492.600664,SUCCESS,0.021235,0.319064,0.117434
1779831493.001608,SUCCESS,0.028964,0.319256,0.139415
1779831493.338141,SUCCESS,0.034170,0.319184,0.150051
1779831493.678559,SUCCESS,0.026152,0.319023,0.146901
1779831494.035533,SUCCESS,0.017923,0.317598,0.136235
1779831494.643095,SUCCESS,-0.002130,0.314239,0.069188
1779831494.919624,SUCCESS,-0.006944,0.313321,0.047997
1779831495.342926,SUCCESS,-0.000228,0.313962,0.066978
1779831495.767751,SUCCESS,0.020268,0.316175,0.088186
1779831496.555647,SUCCESS,0.039418,0.319153,0.117524
1779831504.016524,SUCCESS,-0.023591,0.306713,-0.014351
1779831505.246389,SUCCESS,-0.031900,0.305503,-0.054559
1779831507.420996,SUCCESS,-0.023718,0.306146,-0.042383
1779831508.031071,SUCCESS,-0.018849,0.303339,-0.007739
1779831508.704140,SUCCESS,-0.004111,0.301702,0.043203
1779831509.383667,SUCCESS,0.009905,0.298712,0.071545
1779831510.799360,SUCCESS,0.019049,0.297347,0.104694
1779831511.187214,SUCCESS,0.012369,0.297246,0.076376
1779831512.044800,SUCCESS,-0.026304,0.297685,-0.013192
1779831513.925564,SUCCESS,-0.048538,0.297377,-0.052573
1779831514.293278,SUCCESS,-0.043915,0.297684,-0.033089
1779831514.602465,SUCCESS,-0.035525,0.297617,-0.010839
1779831514.959711,SUCCESS,-0.021368,0.296614,0.033602
1779831519.874647,FAILED,0.000000,0.000000,0.000000
1779831520.316354,FAILED,0.000000,0.000000,0.000000
1779831520.587847,FAILED,0.000000,0.000000,0.000000
1779831520.916031,FAILED,0.000000,0.000000,0.000000
1779831521.192703,FAILED,0.000000,0.000000,0.000000
1779831521.397819,FAILED,0.000000,0.000000,0.000000
1779831521.608930,FAILED,0.000000,0.000000,0.000000
1779831522.231227,FAILED,0.000000,0.000000,0.000000
1779831523.574650,FAILED,0.000000,0.000000,0.000000
1779831523.767656,FAILED,0.000000,0.000000,0.000000
1779831523.875172,FAILED,0.000000,0.000000,0.000000
1779831523.997672,FAILED,0.000000,0.000000,0.000000
1779831524.142052,FAILED,0.000000,0.000000,0.000000
1779831524.474974,FAILED,0.000000,0.000000,0.000000
1779831525.066736,FAILED,0.000000,0.000000,0.000000
1779831525.230823,FAILED,0.000000,0.000000,0.000000
