pwm_left,pwm_right,linear_vel,angular_vel
120,240,0.31830122226031127,0.41913333333333336
120,250,0.33420354617758635,0.5152857142857142
130,0,0.06546564165192076,-0.4134714285714286
130,40,0.11828216394123137,-0.1238761904761905
130,80,0.17331084280834694,-0.06403809523809523
130,120,0.21539511850195847,0.007080952380952384
130,130,0.23218146202686288,-0.013871428571428571
130,140,0.22653261794916146,-0.0008952380952380971
130,150,0.25244977767733845,0.028457142857142858
130,160,0.27030864344604216,0.03769999999999999
130,170,0.28210617922561143,0.07598571428571428
130,180,0.28246590593689314,0.09222857142857144
130,190,0.2963495339329085,0.10998095238095236
130,200,0.2944762595512167,0.13315499999999997
130,210,0.30138721619716996,0.17505238095238096
130,220,0.3035770961175392,0.22702857142857147
130,230,0.32625345201926026,0.25624285714285716
130,240,0.3398390237000595,0.3125095238095238
130,250,0.33790831839226076,0.44110952380952384
140,0,0.08622681877426348,-0.5974190476190476
140,40,0.1349132472846751,-0.1581190476190476
140,80,0.19548603166245357,-0.09473809523809525
140,120,0.2332095712562933,-0.025871428571428573
140,130,0.24268416981148067,-0.0006428571428571435
140,140,0.25646138250794487,-0.005333333333333336
140,150,0.2781152826059906,0.0009809523809523814
140,160,0.27909431569767384,0.02250952380952381
140,170,0.2936912676673868,0.028271428571428565
140,180,0.2916019172299687,0.08871904761904761
140,190,0.30293014129487195,0.10007619047619047
140,200,0.3230987723687501,0.11605714285714284
140,210,0.31957983160773373,0.18477142857142856
140,220,0.3416914149765493,0.1962714285714286
140,230,0.3398340598783382,0.23734285714285722
140,240,0.35895753319528445,0.28640952380952384
140,250,0.3626895804912095,0.3450047619047619
150,0,0.09548311633325729,-0.6525333333333332
150,40,0.13585084964491909,-0.2241857142857143
150,80,0.19524961747991126,-0.10534285714285715
150,120,0.2494770032672477,-0.04752857142857142
150,130,0.2588454396127702,-0.04644761904761906
150,140,0.2718571599257484,-0.011176190476190475
150,150,0.2736693222490637,-0.012114285714285718
150,160,0.2957683937982606,0.004014285714285713
150,170,0.2902623064408293,0.0257
150,180,0.31294738938753797,0.052115
150,190,0.3208785948101714,0.11137142857142857
150,200,0.33805457256762395,0.1073904761904762
150,210,0.3385394129482734,0.13714285714285715
150,220,0.3620140615726636,0.12834761904761902
150,230,0.35687504582795615,0.21222857142857143
150,240,0.34639898028589516,0.23920000000000005
150,250,0.36760573298609245,0.2756571428571429
160,0,0.09342805214025397,-0.8141666666666667
160,40,0.14479843185435137,-0.3017
160,80,0.19671235642449564,-0.12655999999999998
160,120,0.2628494116278332,-0.06402380952380952
160,130,0.2737235112782393,-0.0436047619047619
160,140,0.2875095304607051,-0.029142857142857147
160,150,0.282415901095114,-0.03302857142857143
160,160,0.31470133984091225,-0.014919047619047618
160,170,0.305917491096763,0.00299047619047619
160,180,0.3374955857657301,0.006428571428571429
160,190,0.32866375884721916,0.051195238095238106
160,200,0.35979933476665177,0.08498571428571429
160,210,0.34803748711723703,0.091355
160,220,0.37290864518937916,0.128855
160,230,0.3610414084779111,0.17369999999999997
160,240,0.37786843123760844,0.19241428571428573
160,250,0.3844469774780823,0.2547857142857143
170,0,0.0814287000616476,-0.9312523809523809
170,40,0.15705107884351066,-0.3914666666666667
170,80,0.21445016620936933,-0.16994761904761907
170,120,0.26631746463975603,-0.08756190476190477
170,130,0.27527099178044906,-0.07724285714285714
170,140,0.293185386050674,-0.06432380952380952
170,150,0.29359884831496824,-0.047542857142857144
170,160,0.3114019836431057,-0.028752380952380946
170,170,0.3143641791376955,-0.023904761904761915
170,170,0.30879759536722057,-0.0011142857142857133
170,180,0.2983158957949368,0.0015649999999999998
170,190,0.32927045564021123,0.013500000000000002
170,200,0.33646406793092903,0.06382857142857142
170,210,0.35715276156570025,0.09131428571428571
170,220,0.35318947322088295,0.0756904761904762
170,230,0.3734073457920057,0.13014285714285714
170,240,0.3719522922478444,0.19561428571428574
170,250,0.4000735817506517,0.20456666666666665
180,0,0.08915807362163725,-1.1192761904761905
